stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
890187,890187,"Shelley Street near The Esplanade",, -19.199911, 146.773721,5,http://translink.com.au/stop/890187/gtfs/,0,,
890188,890188,"Heatleys Pde at Rowes Bay",, -19.241230, 146.791204,2,http://translink.com.au/stop/890188/gtfs/,0,,
890189,890189,"Primrose St at Marshall Street",, -19.244190, 146.798058,2,http://translink.com.au/stop/890189/gtfs/,0,,
890190,890190,"Primrose St at Rose Street",, -19.243580, 146.801331,1,http://translink.com.au/stop/890190/gtfs/,0,,
890191,890191,"Primrose St at Rose Street",, -19.243716, 146.801399,1,http://translink.com.au/stop/890191/gtfs/,0,,
890192,890192,"Eyre St at Stuart Street",, -19.246526, 146.808256,1,http://translink.com.au/stop/890192/gtfs/,0,,
890193,890193,"Flinders St near Denham Lane (Hail n Ride)",, -19.257883, 146.818722,20,http://translink.com.au/stop/890193/gtfs/,0,,
890194,890194,"Flinders St at Wickham Street",, -19.257063, 146.821312,20,http://translink.com.au/stop/890194/gtfs/,0,,
890195,890195,"The Strand at Strand Waterpark",, -19.253095, 146.818469,20,http://translink.com.au/stop/890195/gtfs/,0,,
890196,890196,"The Strand at Gregory St",, -19.250745, 146.815620,20,http://translink.com.au/stop/890196/gtfs/,0,,
890203,890203,"The Strand at Gregory St",, -19.250203, 146.815478,20,http://translink.com.au/stop/890203/gtfs/,0,,
890206,890206,"Breakwater Terminal",, -19.254917, 146.825790,20,http://translink.com.au/stop/890206/gtfs/,0,,
890207,890207,"Flinders St at Reef HQ",, -19.257299, 146.822649,20,http://translink.com.au/stop/890207/gtfs/,0,,
890208,890208,"Flinders St at Denham Street",, -19.257908, 146.819261,20,http://translink.com.au/stop/890208/gtfs/,0,,
890209,890209,"Dean Street near Palmer St",, -19.260990, 146.819470,20,http://translink.com.au/stop/890209/gtfs/,0,,
890215,890215,"Palmer Street near Dibbs St",, -19.260276, 146.820806,20,http://translink.com.au/stop/890215/gtfs/,0,,
890217,890217,"Walker Street near Stanley St",, -19.259259, 146.814284,20,http://translink.com.au/stop/890217/gtfs/,0,,
890218,890218,"Flinders St nr Stanley St (Hail n Ride)",, -19.262000, 146.815164,20,http://translink.com.au/stop/890218/gtfs/,0,,
890219,890219,"Flinders St at Blackwood Street",, -19.263337, 146.814006,20,http://translink.com.au/stop/890219/gtfs/,0,,
890220,890220,"Flinders St at Fletcher Street",, -19.266296, 146.810873,1,http://translink.com.au/stop/890220/gtfs/,0,,
890221,890221,"Flinders St at Knapp Street",, -19.267666, 146.808615,1,http://translink.com.au/stop/890221/gtfs/,0,,
890222,890222,"Ingham Rd at Church Street",, -19.268394, 146.800949,1,http://translink.com.au/stop/890222/gtfs/,0,,
890223,890223,"Ingham Rd at Echlin Street",, -19.267887, 146.795971,1,http://translink.com.au/stop/890223/gtfs/,0,,
890224,890224,"Palmerston St at Park Street",, -19.281712, 146.789402,2,http://translink.com.au/stop/890224/gtfs/,0,,
890225,890225,"Park St at Gladstone Street",, -19.283181, 146.789047,2,http://translink.com.au/stop/890225/gtfs/,0,,
890226,890226,"Park St at Derby Street",, -19.285237, 146.788784,2,http://translink.com.au/stop/890226/gtfs/,0,,
